kind,freq_hz,band_label,pc,pico,pico_fft,pico_onboard
fft,0.0,,0.0033833549654176997,0.003556128182626422,,
fft,31.25,,0.007983164521371539,0.004697854527317365,,
fft,62.5,,0.02530283084604346,0.010675679086025932,,
fft,93.75,,0.4148500842911163,0.22906879709482672,,
fft,125.0,,0.7226537880560495,0.40709938823090813,,
fft,156.25,,0.34245509824122145,0.1940061030935311,,
fft,187.5,,0.05922659219375636,0.21945891175128932,,
fft,218.75,,0.21125961889647243,2.9641012092639936,,
fft,250.0,,0.3974114562194133,5.27385698094528,,
fft,281.25,,0.3708770354081574,2.99947435781782,,
fft,312.5,,0.2595245475601405,1.7380975859359,,
fft,343.75,,0.476700340174658,8.77225339660836,,
fft,375.0,,0.5821415113116782,11.848820120733533,,
fft,406.25,,0.29396283060862455,4.4962804337131965,,
fft,437.5,,0.14572499260611116,0.9080541708908141,,
fft,468.75,,0.20099110845856658,1.6846914589087907,,
fft,500.0,,0.22640124728252187,2.1605668067387773,,
fft,531.25,,0.11550605814658904,0.9319166005684233,,
fft,562.5,,0.0816513152155459,0.5444179330678495,,
fft,593.75,,0.1500942568875549,1.8765975087073472,,
fft,625.0,,0.2691698214950363,2.301806295263059,,
fft,656.25,,0.34612755053717736,1.0778597151800131,,
fft,687.5,,0.3602638223242798,0.7962748269678654,,
fft,718.75,,0.4282990653503899,1.8006050856143283,,
fft,750.0,,0.2818869733335154,1.5860682993378787,,
fft,781.25,,0.06603192963182426,0.3607122915764042,,
fft,812.5,,0.03995849733123314,0.11756942040247438,,
fft,843.75,,0.06231977684534178,0.22428358569415183,,
fft,875.0,,0.04904365015779505,0.1900909816744199,,
fft,906.25,,0.02338676172040342,0.056054749990202886,,
fft,937.5,,0.024604474049588668,0.058721581451982384,,
fft,968.75,,0.029721796649077693,0.11801910190311178,,
fft,1000.0,,0.02482003409667174,0.09381064178852475,,
fft,1031.25,,0.018811404919834282,0.03954731993666102,,
fft,1062.5,,0.018983923064916388,0.04684557375316716,,
fft,1093.75,,0.020886833304108,0.07611150141058974,,
fft,1125.0,,0.01722491002277648,0.054322213262308294,,
fft,1156.25,,0.014817203733795078,0.026111417051418943,,
fft,1187.5,,0.014991675216809929,0.023493045929022394,,
fft,1218.75,,0.014815333206466845,0.029906734182454583,,
fft,1250.0,,0.013409757974221387,0.026702331327178693,,
fft,1281.25,,0.012834915523392923,0.023019822880643113,,
fft,1312.5,,0.012413197017567264,0.02932040317577794,,
fft,1343.75,,0.011993849874902951,0.04126897434831298,,
fft,1375.0,,0.011534202684374375,0.031490725210644374,,
fft,1406.25,,0.011347742717799035,0.022068816384163418,,
fft,1437.5,,0.011202421879823005,0.026207906481728747,,
fft,1468.75,,0.011160163877205637,0.03364941614610843,,
fft,1500.0,,0.010953305114373072,0.026160008629258977,,
fft,1531.25,,0.01101781725642116,0.021030045710765284,,
fft,1562.5,,0.01136797015446398,0.0296378495073523,,
fft,1593.75,,0.011213420657151826,0.03617250609382956,,
fft,1625.0,,0.010446688416094899,0.024539989692247667,,
fft,1656.25,,0.010146229263412456,0.019527838359233614,,
fft,1687.5,,0.010688090025430695,0.028738798839645342,,
fft,1718.75,,0.010500269703624358,0.03295528348854449,,
fft,1750.0,,0.00949979813847091,0.023065202878708564,,
fft,1781.25,,0.009101109543396348,0.020090661886749524,,
fft,1812.5,,0.009433252336106753,0.024316744572903302,,
fft,1843.75,,0.009133050624312453,0.02242007493294208,,
fft,1875.0,,0.00860445839665437,0.019476995942484195,,
fft,1906.25,,0.00853718356554743,0.01887270773557085,,
fft,1937.5,,0.008319937726265606,0.021772919599652975,,
fft,1968.75,,0.008188957105185753,0.022489695350361123,,
fft,2000.0,,0.00808186369519448,0.019651253123719882,,
fft,2031.25,,0.007885709091411931,0.018628168736972008,,
fft,2062.5,,0.007768444295496532,0.02001002480260734,,
fft,2093.75,,0.007627430457491221,0.019209606263589602,,
fft,2125.0,,0.0075530433804613505,0.01670276171958218,,
fft,2156.25,,0.007636230573919072,0.016083094714487628,,
fft,2187.5,,0.007789827924953878,0.01611103283950919,,
fft,2218.75,,0.007600417533023176,0.016214726235094956,,
fft,2250.0,,0.0072538513432744275,0.016282515996130873,,
fft,2281.25,,0.007026426628944233,0.016229611344974776,,
fft,2312.5,,0.007012527088820282,0.01760310167492361,,
fft,2343.75,,0.006868513981496561,0.017662686910029295,,
fft,2375.0,,0.006805128709348972,0.015503737474285665,,
fft,2406.25,,0.007183457076361585,0.013921233671921253,,
fft,2437.5,,0.007436132838655747,0.01501544468226354,,
fft,2468.75,,0.007131861066605952,0.01488037876105213,,
fft,2500.0,,0.007055614736867872,0.01502330111559295,,
fft,2531.25,,0.0075094397616777015,0.013869444121608163,,
fft,2562.5,,0.007917345113069197,0.014743830912675933,,
fft,2593.75,,0.007721667420355883,0.015141871886682671,,
fft,2625.0,,0.007650251795782653,0.014767202468938022,,
fft,2656.25,,0.00972447817040948,0.01666997807097547,,
fft,2687.5,,0.013962931457452482,0.018673997032780436,,
fft,2718.75,,0.01713677031299864,0.020021390287255938,,
fft,2750.0,,0.01906336103050501,0.019926711516279987,,
fft,2781.25,,0.018817030393465304,0.02759962009551713,,
fft,2812.5,,0.018251493915720316,0.04511312572169614,,
fft,2843.75,,0.01691520555785453,0.041189096244148425,,
fft,2875.0,,0.012709772962359969,0.023618018400714227,,
fft,2906.25,,0.007786121963488234,0.016267578971011165,,
fft,2937.5,,0.006434487604556096,0.01504555726640377,,
fft,2968.75,,0.006640223710142474,0.01561786029686031,,
