kind,freq_hz,band_label,pc,pico,pico_fft,pico_onboard
fft,0.0,,0.007996739538819013,0.005283442242845103,,
fft,31.25,,0.01891195120809326,0.011252377651432376,,
fft,62.5,,0.09873544034103386,0.0650630448362687,,
fft,93.75,,0.6041883744753753,0.4455783805180626,,
fft,125.0,,0.7014077436409069,0.5272929253333328,,
fft,156.25,,0.20172281928885477,0.15075848526822397,,
fft,187.5,,0.13414032240837948,0.9075704706264867,,
fft,218.75,,0.29836913011078275,2.5804478728447195,,
fft,250.0,,0.21649785112113623,1.852794999685254,,
fft,281.25,,0.07929585749222416,0.3588808571779791,,
fft,312.5,,0.15212149691982438,1.5407195635174111,,
fft,343.75,,0.19909938367202343,2.3447992623688654,,
fft,375.0,,0.10995671655149052,1.0038825732181322,,
fft,406.25,,0.1858295450916178,1.23110777497118,,
fft,437.5,,0.4864757305560026,4.332822340905094,,
fft,468.75,,0.38979478898670383,3.915168680386516,,
fft,500.0,,0.0896836609065574,0.8539819173233129,,
fft,531.25,,0.2439637938353614,2.083659779608608,,
fft,562.5,,0.45078152792634607,4.287802168388431,,
fft,593.75,,0.26274696236446904,2.5842027248605586,,
fft,625.0,,0.5313557459666288,2.0126041913083283,,
fft,656.25,,1.9678169822049398,8.7602853307626,,
fft,687.5,,1.9289606710521277,10.640057000223809,,
fft,718.75,,0.6575441433079943,4.001406852341987,,
fft,750.0,,2.0692243592372446,2.8705566722416633,,
fft,781.25,,3.9093052781575346,6.3994867536647755,,
fft,812.5,,2.2758974642414844,4.814799772917019,,
fft,843.75,,0.4054506825150616,1.2282174589405672,,
fft,875.0,,0.46473169196616765,1.3762305819506302,,
fft,906.25,,0.49409080177581927,1.8407947590037337,,
fft,937.5,,0.2630430320492723,0.9524674163344174,,
fft,968.75,,0.7038522881214887,0.7875038230180285,,
fft,1000.0,,2.1568968183624584,2.1487658219606884,,
fft,1031.25,,1.9684878724688435,2.1938643180345836,,
fft,1062.5,,0.70346990459701,0.7699449086121366,,
fft,1093.75,,1.2484223846545508,0.5373231657268607,,
fft,1125.0,,1.7387576762915251,0.8259275157121168,,
fft,1156.25,,0.9136702987907734,0.561170467251573,,
fft,1187.5,,0.5447570902921759,0.4756982574714978,,
fft,1218.75,,1.181955932991138,1.528470363341185,,
fft,1250.0,,1.1155168929690447,2.1264836236665876,,
fft,1281.25,,0.5392339740554576,1.4752787694429332,,
fft,1312.5,,1.10937466155468,2.743670761947977,,
fft,1343.75,,1.801263271023587,5.526496129117867,,
fft,1375.0,,1.1718728828321765,4.620803886013448,,
fft,1406.25,,0.7899292848557767,1.9386298077046846,,
fft,1437.5,,1.6883660664588678,1.4663386311561022,,
fft,1468.75,,1.7664170529917966,1.564032181027312,,
fft,1500.0,,0.7288167181351705,1.0052214630396128,,
fft,1531.25,,0.25942574992131834,0.8750103231359194,,
fft,1562.5,,0.24977093494530167,1.4194113970132232,,
fft,1593.75,,0.1682860882386986,1.438362274614073,,
fft,1625.0,,0.07805521160556406,0.8602279444747103,,
fft,1656.25,,0.10525313903490471,0.7821496895061374,,
fft,1687.5,,0.14136170877153065,1.0726327125850312,,
fft,1718.75,,0.0885577852342654,0.8160770616383842,,
fft,1750.0,,0.05654129349511056,0.4270871760796925,,
fft,1781.25,,0.08629781916828698,0.5500228653611853,,
fft,1812.5,,0.08026993680643131,0.5661778759868069,,
fft,1843.75,,0.04961229630369844,0.29402771781266107,,
fft,1875.0,,0.06380317255905135,0.24311212157664738,,
fft,1906.25,,0.08712329749185704,0.3364155119077456,,
fft,1937.5,,0.06549651669310472,0.2812931135156974,,
fft,1968.75,,0.04217484094874136,0.21039435524739303,,
fft,2000.0,,0.06473054124550454,0.2586012903791044,,
fft,2031.25,,0.07395283609487818,0.30130876298626524,,
fft,2062.5,,0.04613609202180262,0.22859076347682442,,
fft,2093.75,,0.04114700745770146,0.14682396998698635,,
fft,2125.0,,0.05996252626027728,0.130558025184622,,
fft,2156.25,,0.05683825763735667,0.1321415612655443,,
fft,2187.5,,0.039070481711863794,0.11741085219495837,,
fft,2218.75,,0.03872982333957032,0.1424587833241053,,
fft,2250.0,,0.03835207758121886,0.17200793030788267,,
fft,2281.25,,0.027894689802165255,0.14356014715367565,,
fft,2312.5,,0.037968194034550706,0.10838086083993297,,
fft,2343.75,,0.07165504547024466,0.10652192097776164,,
fft,2375.0,,0.07449406809990915,0.10178634896111276,,
fft,2406.25,,0.05223413550705197,0.0631398133371819,,
fft,2437.5,,0.06595858477441877,0.08835912957734225,,
fft,2468.75,,0.08774533507227457,0.1685489062408992,,
fft,2500.0,,0.07614863794830795,0.20587427125890012,,
fft,2531.25,,0.06285932587801991,0.19791465427576305,,
fft,2562.5,,0.07954612670851219,0.24458952169818418,,
fft,2593.75,,0.0842485864449441,0.29080568741629226,,
fft,2625.0,,0.07236077072421913,0.22725654851471042,,
fft,2656.25,,0.08480169399165638,0.1754934166024809,,
fft,2687.5,,0.12390118064415616,0.15236610820971097,,
fft,2718.75,,0.1479253886746345,0.13137909787945104,,
fft,2750.0,,0.14788846838008013,0.12755742523963953,,
fft,2781.25,,0.1545596363331445,0.1940173442772593,,
fft,2812.5,,0.18447076936349385,0.3288433919242117,,
fft,2843.75,,0.19609173934702198,0.38508964455144573,,
fft,2875.0,,0.23852608024440247,0.47052417777131184,,
fft,2906.25,,0.31995337394109763,0.6595728373866219,,
fft,2937.5,,0.3231761307928524,0.7953203896597407,,
fft,2968.75,,0.25157593547864904,0.7931842888230742,,
fft,3000.0,,0.287763635850596,0.6392926307216419,,
fft,3031.25,,0.3132396680230277,0.3905664410921019,,
fft,3062.5,,0.19589036706735993,0.21232815971405639,,
fft,3093.75,,0.1137615285628109,0.2175318554484232,,
fft,3125.0,,0.16776191663932122,0.343994689283713,,
fft,3156.25,,0.19171376589310254,0.42493503441847663,,
fft,3187.5,,0.12418510406478481,0.4103012061659265,,
fft,3218.75,,0.08728202479890086,0.3711827913549085,,
fft,3250.0,,0.1259411820812054,0.32958631842562053,,
fft,3281.25,,0.12062033423675705,0.24002647264775948,,
fft,3312.5,,0.0730889540344238,0.14495468533982228,,
fft,3343.75,,0.06961762095210648,0.1049751487547312,,
fft,3375.0,,0.0904667143206631,0.11819588758582138,,
